t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0.0,-10.0,-8.0,100.0,15.0,0.0,0.0
0.1,-8.47000227479219,-8.000369434896326,100.0,14.999998320587256,-0.007098054626944439,0.0
0.2,-6.940004684830097,-8.00144601072436,100.0,14.99999358641065,-0.013871108080825607,0.0
0.30000000000000004,-5.41000753420902,-8.00319709405171,100.0,14.999986224206248,-0.020329132366022785,0.0
0.4,-3.8800110844830877,-8.005591056551243,100.0,14.999976623672072,-0.026481867218438315,0.0
0.5,-2.350015558364265,-8.008597251493363,100.0,14.999965139975759,-0.032338823602660535,0.0
0.6000000000000001,-0.8200211431705269,-8.012185990595853,100.0,14.99995209612156,-0.0379092872314774,0.0
0.7000000000000001,0.7099720059627315,-8.016328521233223,100.0,14.999937785183144,-0.04320232210124371,0.0
0.8,2.239963763094587,-8.020997004006938,100.0,14.999922472408516,-0.048226774037399195,0.0
0.9,3.7699540287009823,-8.026164490677308,100.0,14.99990639720308,-0.05299127424513291,0.0
1.0,5.2999427270954085,-8.031804902457372,100.0,14.999889774996783,-0.05750424286080004,0.0
1.1,6.829929804036272,-8.037893008668668,100.0,14.999872799000844,-0.0617738925002267,0.0
1.2000000000000002,8.359915224509885,-8.044404405758415,100.0,14.9998556418596,-0.06580823180049716,0.0
1.3,9.889898970678578,-8.051315496677308,100.0,14.999838457202623,-0.06961506895221178,0.0
1.4000000000000001,11.419881039983943,-8.058603470616825,100.0,14.999821381102104,-0.07320201521954114,0.0
1.5,12.949861443395736,-8.066246283104702,100.0,14.999804533440338,-0.07657648844569093,0.0
1.6,14.479840203797426,-8.074222636456978,100.0,14.999788019191913,-0.07974571654163652,0.0
1.7000000000000002,16.009817354499855,-8.082511960584842,100.0,14.999771929624982,-0.08271674095619479,0.0
1.8,17.539792937874914,-8.091094394154256,100.0,14.999756343425906,-0.08549642012567686,0.0
1.9000000000000001,19.069767004101564,-8.09995076609625,100.0,14.999741327751266,-0.0880914329015155,0.0
2.0,20.599739610016936,-8.109062577465535,100.0,14.999726939211182,-0.09050828195438737,0.0
2.1,22.12971081806563,-8.118411983644998,100.0,14.99971322478757,-0.09275329715345834,0.0
2.2,23.65968069534071,-8.127981776893472,100.0,14.99970022269097,-0.0948326389194731,0.0
2.3000000000000003,25.189649312710262,-8.13775536923406,100.0,14.999687963159257,-0.09675230155048906,0.0
2.4000000000000004,26.719616744023647,-8.147716775680182,100.0,14.999676469201512,-0.09851811651912473,0.0
2.5,28.249583065392052,-8.157850597796369,100.0,14.999665757290138,-0.10013575574025396,0.0
2.6,29.779548354538097,-8.168142007590768,100.0,14.999655838004143,-0.10161073480813201,0.0
2.7,31.30951269020962,-8.178576731736173,100.0,14.999646716626412,-0.10294841620199029,0.0
2.8000000000000003,32.83947615165308,-8.189141036116336,100.0,14.99963839369765,-0.10415401245918321,0.0
2.9000000000000004,34.36943881814219,-8.199821710694193,100.0,14.999630865529527,-0.10523258931501481,0.0
3.0,35.89940076855778,-8.210606054698598,100.0,14.999624124679444,-0.10618906880841601,0.0
3.1,37.42936208101494,-8.221481862126,100.0,14.999618160389266,-0.10702823235268531,0.0
3.2,38.95932283253397,-8.232437407553498,100.0,14.999612958990145,-0.10775472377054693,0.0
3.3000000000000003,40.48928309875164,-8.243461432259586,100.0,14.999608504275594,-0.10837305229282328,0.0
3.4000000000000004,42.019242953669675,-8.25454313064885,100.0,14.999604777844711,-0.10888759552005936,0.0
3.5,43.549202469437404,-8.265672136976798,100.0,14.99960175941749,-0.10930260234648083,0.0
3.6,45.07916171616586,-8.276838512370965,100.0,14.99959942712398,-0.10962219584570966,0.0
3.7,46.60912076177066,-8.288032732144359,100.0,14.999597757768932,-0.10985037611770607,0.0
3.8000000000000003,48.139079671841245,-8.299245673397271,100.0,14.999596727073637,-0.10999102309645027,0.0
3.9000000000000004,49.66903850953419,-8.31046860290342,100.0,14.999596309896333,-0.11004789931792176,0.0
4.0,51.19899733548847,-8.321693165276361,100.0,14.999596480432722,-0.11002465264798145,0.0
4.1000000000000005,52.72895620776068,-8.33291137141207,100.0,14.999597212397887,-0.10992481896980631,0.0
4.2,54.25891518177832,-8.344115587203522,100.0,14.999598479190913,-0.10975182483057386,0.0
4.3,55.78887431030948,-8.35529852252314,100.0,14.9996002540434,-0.10950899004713893,0.0
4.4,57.318833643447284,-8.366453220468891,100.0,14.999602510153018,-0.10919953027049235,0.0
4.5,58.84879322860759,-8.377573046869818,100.0,14.999605220803163,-0.10882655950883578,0.0
4.6000000000000005,60.37875311053859,-8.388651680046808,100.0,14.999608359469745,-0.10839309260915263,0.0
4.7,61.908713331341005,-8.39968310082431,100.0,14.999611899916037,-0.10790204769719895,0.0
4.800000000000001,63.4386739304977,-8.410661582788814,100.0,14.999615816276485,-0.10735624857588173,0.0
4.9,64.96863494491159,-8.421581682789803,100.0,14.999620083130338,-0.10675842708203358,0.0
5.0,66.49859640895083,-8.432438231678965,100.0,14.999624675565846,-0.10611122540163405,0.0
5.1000000000000005,68.02855835450043,-8.443226325283415,100.0,14.999629569235815,-0.10541719834356737,0.0
5.2,69.5585208110193,-8.45394131560871,100.0,14.999634740405195,-0.10467881557204331,0.0
5.300000000000001,71.08848380560201,-8.464578802267447,100.0,14.99964016599133,-0.10389846379784473,0.0
5.4,72.61844736304448,-8.475134624129264,100.0,14.999645823597518,-0.10307844892859938,0.0
5.5,74.1484115059131,-8.485604851188059,100.0,14.999651691540421,-0.10222099817830577,0.0
