t_s,step_idx,n_drones,min_separation_m,max_separation_m,mean_separation_m,min_distance_to_goal_m,mean_distance_to_goal_m,max_distance_to_goal_m,mean_speed_ms,max_speed_ms
29.0,290,5,9.890027665477206,39.975636362409595,19.99496374212344,3536.4114869302575,3556.3722428083347,3576.386579241259,15.0,15.000000000000002
30.0,300,5,9.88794811992873,39.97555357649971,19.99400389417763,3521.1114892643973,3541.0722623746997,3561.0866089165993,15.0,15.000000000000002
31.0,310,5,9.886240864450153,39.97548603072096,19.993228498294663,3505.811490794948,3525.772277878403,3545.786631785167,15.0,15.000000000000002
32.0,320,5,9.884837572645614,39.97543118002497,19.992600748842314,3490.5114917877745,3510.472290189572,3530.4866493752684,15.0,15.0
33.0,330,5,9.883682788954665,39.97538682694109,19.992091492284754,3475.2114924233188,3495.172299986637,3515.1866628800008,15.0,15.000000000000002
34.0,340,5,9.882731439303862,39.975351099045184,19.99167757021169,3459.9114928235367,3479.8723077996374,3499.886673228862,15.0,15.000000000000002
35.0,350,5,9.881946836479944,39.975322418332404,19.991340534763783,3444.611493070432,3464.5723140435193,3484.586681144514,15.0,15.0
36.0,360,5,9.881299078954786,39.97529946718526,19.991065650020538,3429.3114932187914,3449.2723190437855,3469.286687187682,15.0,15.000000000000002
37.0,370,5,9.880763763345026,39.975281154048126,19.990841113530777,3414.011493304929,3433.9723230562945,3453.986691792579,15.0,15.000000000000002
38.0,380,5,9.880320947400493,39.97526658074067,19.99065744774834,3398.711493352674,3418.6723262825776,3438.6866952947917,15.0,15.000000000000002
39.0,390,5,9.879954313509229,39.97525501251311,19.990507022945188,3383.411493377462,3403.3723288817077,3423.3866979531836,15.0,15.000000000000002
40.0,400,5,9.879650492971692,39.975245851365855,19.990383682135874,3368.1114933891245,3388.0723309795053,3408.0866999670534,15.0,15.000000000000002
41.0,410,5,9.87939851939133,39.97523861276536,19.99028244535905,3352.811493393787,3372.7723326757055,3392.786701489554,15.0,15.000000000000002
42.0,420,5,9.879189385922393,39.97523290566132,19.99019927586512,3337.511493395146,3357.4723340495375,3377.486702638156,15.0,15.000000000000002
43.0,430,5,9.879015686167882,39.975228415553616,19.990130894722768,3322.211493395338,3342.1723351640744,3362.1867035027967,15.0,15.000000000000002
44.0,440,5,9.878871322557442,39.97522489029928,19.990074633403992,3306.9114933955093,3326.8723360696376,3346.8867041521994,15.0,15.000000000000002
45.0,450,5,9.878751269216854,39.97522212832224,19.990028316239794,3291.6114933961976,3311.5723368064655,3331.586704638787,15.0,15.000000000000002
46.0,460,5,9.878651378907767,39.97521996888803,19.989990166434588,3276.3114933975844,3296.2723374067973,3316.2867050024697,15.0,15.000000000000002
47.0,470,5,9.878568225647285,39.97521828413577,19.98995873071629,3261.0114933996483,3280.972337896522,3300.9867052735726,15.0,15.000000000000002
48.0,480,5,9.878498976252434,39.975216972579815,19.98993281876526,3245.711493402274,3265.67233829647,3285.686705475096,15.0,15.000000000000002
49.0,490,5,9.878441285357663,39.975215953841776,19.989911454402392,3230.411493405302,3250.372338623436,3270.38670562445,15.0,15.0
50.0,500,5,9.87839320950914,39.97521516438673,19.989893836152646,3215.111493408575,3235.0723388909873,3255.086705734784,15.0,15.0
51.0,510,5,9.878353136782568,39.975214554094336,19.98987930531252,3199.8114934119485,3219.772339110104,3239.7867058160095,15.0,15.000000000000002
52.0,520,5,9.878319729038834,39.97521408350272,19.98986732003249,3184.5114934153044,3204.4723392896867,3224.4867058755835,15.0,15.000000000000002
53.0,530,5,9.878291874494723,39.97521372160318,19.98985743423956,3169.211493418549,3189.1723394369665,3209.1867059190986,15.0,15.0
54.0,540,5,9.878268648715,39.9752134440749,19.989849280459374,3153.9114934216173,3173.8723395578213,3193.8867059507415,15.0,15.000000000000002
55.0,550,5,9.878249282486847,39.97521323188393,19.989842555794787,3138.6114934244642,3158.572339657043,3178.58670597364,15.0,15.000000000000002
56.0,560,5,9.878233135336977,39.97521307016176,19.98983701045688,3123.311493427064,3143.2723397385357,3163.2867059901196,15.0,15.000000000000002
57.0,570,5,9.878219673665004,39.975212947320514,19.989832438373185,3108.0114934294065,3127.972339805492,3147.9867060019096,15.0,15.000000000000002
58.0,580,5,9.878208452674881,39.97521285434871,19.989828669483607,3092.7114934314927,3112.6723398605195,3132.6867060102877,15.0,15.000000000000002
59.0,590,5,9.878199101421643,39.97521278425429,19.989825563413703,3077.411493433332,3097.3723399057535,3117.3867060161956,15.0,15.000000000000002
60.0,600,5,9.87819131042574,39.975212731627146,19.989823004273926,3062.111493434937,3082.0723399429426,3102.0867060203263,15.0,15.000000000000002
61.0,610,5,9.878184821401284,39.975212692290626,19.98982089637811,3046.811493436327,3066.7723399735214,3086.786706023187,15.0,15.000000000000002
62.0,620,5,9.878179418730724,39.975212663030284,19.989819160718053,3031.511493437523,3051.472339998665,3071.4867060251445,15.0,15.000000000000002
63.0,630,5,9.878174922377799,39.97521264137916,19.989817732056522,3016.211493438543,3036.172340019341,3056.186706026467,15.0,15.000000000000002
64.0,640,5,9.878171181996231,39.97521262544973,19.989816556529796,3000.911493439409,3020.8723400363424,3040.886706027347,15.0,15.000000000000002
65.0,650,5,9.878168072024186,39.975212613803485,19.989815589669394,2985.6114934401394,3005.5723400503202,3025.586706027921,15.0,15.000000000000002
66.0,660,5,9.878165487596663,39.97521260534758,19.98981479476796,2970.3114934407527,2990.2723400618115,3010.286706028288,15.0,15.000000000000002
67.0,670,5,9.878163341138798,39.97521259925488,19.989814141530047,2955.011493441264,2974.9723400712564,2994.986706028515,15.0,15.000000000000002
68.0,680,5,9.878161559522995,39.97521259490224,19.989813604957085,2939.71149344169,2959.6723400790192,2979.6867060286495,15.0,15.000000000000002
