t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
3.5,21.3772963841267,9.69850241938309,47.9916021357074,8.20221382551841,5.94715948159949,11.0614186459466
3.55,21.7891536036997,9.99908535019729,48.5429247064627,8.25176389647735,6.06103030456003,10.9623129057694
3.6,22.2034572052123,10.3053080874181,49.0889252442868,8.30574138390569,6.17678410228501,10.8564265860105
3.65,22.6204252670915,10.6172620140851,49.629267172795,8.36397812378113,6.29438944962086,10.7435809393988
3.7,23.0402673906959,10.9350368617537,50.1636053301602,8.42629918090548,6.41380275674959,10.6235877325592
3.75,23.4631844061603,11.2587201112503,50.6915855253248,8.4901333735032,6.53312857986378,10.4932971598723
3.8,23.8892507964287,11.5883060907884,51.2126992294608,8.55227982202812,6.64991405122187,10.3489879753297
3.85,24.3183839377118,11.9236686822218,51.726255788374,8.61280975096645,6.76419514289761,10.1910742459517
3.9,24.7505048626324,12.2646835821134,52.2315856625108,8.67179812074104,6.87600850638133,10.0199863919276
3.95,25.1855384354168,12.6112283392177,52.7280412251442,8.72932316419238,6.98539160745546,9.83617039143746
4,25.6234134169532,12.9631823327761,53.2149977447339,8.78546072627128,7.09237893207135,9.64010055204495
4.05,26.0640622524117,13.3204265618354,53.6918550331728,8.8402841442638,7.19700218891101,9.43227969799688
4.1,26.5074211354023,13.6828436550384,54.1580383602665,8.8938700726427,7.29929495338913,9.21322285611099
4.15,26.9534294658167,14.0503174096413,54.6129985973875,8.94626867838293,7.39926914539978,8.98344347958858
4.2,27.4020288934051,14.4227319924391,55.0562128337535,8.99752090885513,7.49692886918626,8.74347286659683
4.25,27.8531631321017,14.7999717781873,55.4871852802903,9.04766804836392,7.59227794659684,8.49386638084671
4.3,28.3067780001206,15.1819213875795,55.905448352893,9.09675365413031,7.68532350672668,8.23519300673061
4.35,28.7628215862673,15.5684659496009,56.3105629954252,9.1448248979311,7.77607874872952,7.9680246429925
4.4,29.2212444155239,15.9594914033674,56.7021187899854,9.19193194960182,7.86456286608397,7.69293468495895
4.45,29.6819995828347,16.3548847958898,57.0797339965459,9.23808151592186,7.95071574383926,7.41078286935883
4.5,30.1450268900694,16.7545049603652,57.4431567446266,9.28274146700592,8.0334835903931,7.12590832842885
4.55,30.6102482435216,17.1581747869924,57.7923043506156,9.32587153614712,8.11274820967522,6.83980400040347
4.6,31.0775912368091,17.5657257974135,58.1271191474812,9.36763253981172,8.18877275547958,6.55261895246649
4.65,31.546991114343,17.9770020656922,58.4475503797972,9.40816999630547,8.26179652685076,6.26448119104905
4.7,32.0183900562382,18.3918590725917,58.7535532361123,9.44761617623595,8.3320368713795,5.97550099659527
4.75,32.4917365639547,18.8101626881606,59.0450880424895,9.48609185877057,8.39969264336258,5.685774072939
4.8,32.9669849114444,19.2317883211347,59.3221195970959,9.52370731889679,8.4649468469257,5.39538393510068
4.85,33.4440946413274,19.6566201709511,59.5846166077718,9.56056315494847,8.52796837951364,5.10440373085741
4.9,33.9230300990041,20.0845505618341,59.832551212591,9.59675098611013,8.58891357718251,4.81289775079132
4.95,34.4037599987317,20.5154793495715,60.0658985693401,9.63235403615739,8.64792757990721,4.52092268342872
5,34.8862570163815,20.9493133924197,60.2846365023532,9.66744761967322,8.70514553425117,4.22852866119913
5.05,35.3704974044043,21.3859660784179,60.4887451972042,9.70209954678,8.76069364962463,3.93576013434114
5.1,35.8564606253232,21.8253569021726,60.6782069354373,9.73637046211509,8.81469012334511,3.64265660309064
5.15,36.3441290008506,22.2674110849175,60.8530058628933,9.77031413331264,8.86724594893558,3.34925323311825
5.2,36.8334873744732,22.7120592323609,61.0131277863281,9.8039777035771,8.91846562160197,3.05558137492471
5.25,37.3245227860536,23.1592370255215,61.1585599939671,9.83740192198144,8.96844775460794,2.76166900450471
5.3,37.817224157651,23.6088849404414,61.2892910964321,9.87062136385329,9.01728562024893,2.46754109984666
5.35,38.3115819903414,24.0609479933495,61.4053108851512,9.90366465201836,9.06506762921945,2.17321996558911
5.4,38.8075880723111,24.5153755085419,61.5066102059248,9.93655468778827,9.11187776224333,1.87872551627618
5.45,39.3052351988891,24.9721209069395,61.5931808458084,9.96930889849159,9.15779596776895,1.58407552704992
5.5,39.8045169054704,25.4311415139621,61.6650154318719,10.0019395061688,9.20289853920402,1.28928585921966
5.55,40.3054272144592,25.8923983860229,61.7221073407422,10.0344538199215,9.24725848449588,0.99437066691202
5.6,40.8079603974368,26.3558561555577,61.7644506181128,10.066854552459,9.29094589981878,0.699342589906617
5.65,41.3121107537401,26.8214828950605,61.7920399076387,10.0991401597313,9.3340283577339,0.404212936790733
5.7,41.8178724065525,27.2892500010741,61.8048703888166,10.131305201258,9.3765713185264,0.108991861723355
5.75,42.3252391174613,27.7591320994747,61.8029377235984,10.1633407178736,9.41863857163872,-0.186311462607598
5.8,42.8342041202592,28.2311069736919,61.7862380116014,10.1952346231133,9.46029271239835,-0.48168867380883
5.85,43.3447599745746,28.705155517729,61.7547677538664,10.2269721043005,9.50159565779505,-0.777132048753968
5.9,43.856898439365,29.1812617133639,61.7085238247892,10.2585359750977,9.54260902195537,-1.07263436233858
5.95,44.3706103540562,29.6594126148274,61.6475034484067,10.2899066064024,9.58339417211354,-1.36818883795346
6,44.8858855051066,30.1395983573192,61.5717041788937,10.3210614091278,9.62401315430662,-1.66378902487288
